Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,ra_host,dec_host,mass_err,mass,restframe_gz,restframe_gz_err,d_dlr,ANGSEP_ARCSEC,TARGETID,RA,DEC,DESI_TARGET,SPECTYPE,Z,ZWARN,ABS_DIFF,RESIDUAL,residual_centered,VDISP,LOGMSTAR,SFR,DN4000,ABSMAG01_SDSS_G,ABSMAG01_SDSS_R
69,ZTF18aaizerg,0.06846052,1.46E-05,z_gal,58852.80832,0.000678003,-1.206520734,0.073268074,0.164740523,2.14E-05,0.08352567,0.027232065,-1.75E-07,-0.006873464,-0.000234735,-1.41E-07,-4.99E-07,-3.70E-06,0.022999586,3.1,0,0.039520035,219.698213,50.102776,snia-cosmo,norm,1,1,2019zbj,100,219.6979121,50.10300693,0.103324731,10.287,1.08669653,0.017691806,0.228781697,6.56E-11,3.96332E+16,219.6979121,50.10300693,5.76461E+18,GALAXY,0.068459762,0,7.58E-07,7.58E-07,0.204901836,103.10339,10.542661,0.23884387,1.5963184,-19.361567,-20.129133
70,ZTF18aajivpr,0.05145185,1.19E-05,z_gal,58954.45431,0.000537102,-0.677752074,0.372523192,0.175303443,1.95E-05,0.102295402,0.031102356,-7.74E-07,-0.005164897,0.000852753,-2.13E-07,-5.33E-07,-2.46E-05,0.019188716,3.1,0,0.384418137,179.195463,52.483881,snia-cosmo,norm,1,1,2020gaa,100,179.1966094,52.4843373,0.122641755,10.204,1.08269653,0.017691806,0.454492905,0,3.96333E+16,179.1966094,52.4843373,5.76461E+18,GALAXY,0.051448136,0,3.71E-06,3.71E-06,0.133669176,104.15777,10.571186,0.24668872,1.3964707,-19.239275,-19.951084
74,ZTF18aajsbbq,0.08601782,2.60E-05,z_gal,58236.25057,0.000621279,0.475494592,0.053516504,0.076820145,1.86E-05,0.093590329,0.028593238,1.28E-07,-0.00243154,-2.06E-05,-1.06E-07,-4.39E-07,-0.000426364,0.023105261,3.1,0,1.08E-27,258.763626,34.828045,snia-cosmo,91t,1,0,,100,258.7636475,34.82803239,0.103077641,10.136,1.02369653,0.019209373,0.026643254,0,3.9633E+16,258.7636475,34.82803239,1.15292E+18,GALAXY,0.086017996,0,1.76E-07,-1.76E-07,0.302823686,100.02531,9.927679,0.025183823,1.8556192,-18.880985,-19.67901
86,ZTF18aaksugk,0.05984633,1.04E-05,z_gal,58172.12057,0.001691676,4.999999425,-0.128166853,3.144132264,0.000415839,8.307143415,0.16120661,-0.001309404,0.000231955,0.332692908,2.05E-09,-5.01E-05,-9.06E-06,0.023320376,3.1,0,0.959337695,207.094954,14.879484,snia,,0,0,2018adj,100,207.0954639,14.87893025,0.103077641,9.081,0.71869653,0.028301943,0.86005584,0,3.96281E+16,207.0954639,14.87893025,1.15292E+18,GALAXY,0.059847077,0,7.47E-07,-7.47E-07,-0.715018767,125,9.146478,0.05689344,1.1861937,-17.368643,-17.780046
90,ZTF18aamigmk,0.02229592,1.26E-05,z_gal,58244.10076,0.011164025,0.732353274,-0.111544771,0.037860852,0.000334058,0.038380227,0.027136464,3.30E-06,-5.46E-05,-0.0003312,1.26E-06,-7.81E-06,-0.000256734,0.036154599,3.1,0,0.970924861,269.417711,50.03859,snia-cosmo,norm,1,1,2018aye,100,269.4189823,50.03346204,0.102391406,9.26,0.69369653,0.022203603,1.042963393,3.43E-11,3.96332E+16,269.4189823,50.03346204,5.76461E+18,GALAXY,0.022295962,0,4.16E-08,-4.16E-08,-0.136307552,125,9.201294,0.03487739,1.203506,-17.828234,-18.249361
92,ZTF18aamlqqh,0.05718284,2.11E-05,z_gal,58242.68518,0.001289689,-1.372103544,-0.057531725,0.091401792,4.07E-05,0.093733999,0.029672779,1.28E-07,0.000801879,-0.000388953,-5.97E-07,-9.89E-07,-0.000232412,0.029255643,3.1,0,0.957306201,266.986078,34.932642,snia-cosmo,norm,1,1,2018bcz,100,266.9860068,34.93271933,0.108078675,9.1,0.47169653,0.02607681,0.104813871,0,3.9633E+16,266.9860068,34.93271933,5.76461E+18,GALAXY,0.057181656,0,1.18E-06,1.18E-06,0.122400272,125,9.202337,0.042059857,1.552005,-17.09802,-17.752628
94,ZTF18aandjhu,0.02567349,1.12E-05,z_gal,58623.00681,0.003454981,-1.151421414,0.340187576,0.107753075,0.000148144,0.155019237,0.035479476,3.78E-06,-0.007312513,-0.000721513,-1.19E-05,-4.71E-06,0.001996431,0.061382289,3.1,0,0.000617528,263.526711,25.344095,snia-cosmo,norm,1,1,2019gcc,100,263.5268199,25.34397034,0.172046505,11.069,1.39969653,0.017691806,0.044654989,0.236569303,2.84312E+15,263.5267473,25.34396685,4.61169E+18,GALAXY,0.025671011,0,2.48E-06,2.48E-06,0.581226563,234.55086,11.126786,0,1.9074664,-20.742653,-21.766308
95,ZTF18aangpkx,0.07000448,1.50E-05,z_gal,58981.91109,0.000787031,-2.018797821,-0.017701057,0.067591432,2.41E-05,0.084433745,0.027973613,-5.96E-08,0.000429447,2.46E-05,-2.55E-07,-5.74E-07,0.000104916,0.019963245,3.1,0,0.014280293,255.339058,32.785825,snia,,1,1,2020jbl,100,255.3387937,32.7855926,0.146454771,10.846,1.30469653,0.018439089,0.156518848,0,3.96329E+16,255.3387937,32.7855926,5.76461E+18,GALAXY,0.069995529,0,8.95E-06,8.95E-06,0.270088022,254.93884,11.093539,0,2.0683198,-20.188242,-21.163305
97,ZTF18aanygjk,0.06180617,1.35E-05,z_gal,58652.93164,0.001404977,0.799300616,0.013729996,0.058166647,4.25E-05,0.076688543,0.027408719,1.64E-07,0.00024552,-0.000104731,-4.43E-07,-1.00E-06,6.17E-05,0.029561967,3.1,0,6.79E-06,273.063952,56.619776,snia-cosmo,norm,1,1,2019haw,100,273.0636098,56.62001819,0.120370262,10.843,1.15669653,0.017029386,0.16153001,0,3.96333E+16,273.0636098,56.62001819,5.76461E+18,GALAXY,0.061804972,0,1.20E-06,1.20E-06,0.261247926,182.32726,10.66422,0,1.8420064,-20.524254,-21.360054
100,ZTF18aaobjwr,0.11038691,2.82E-05,z_gal,58236.18837,0.000244664,-2.011303058,-0.075619705,0.205666411,1.02E-05,0.276052763,0.039586642,-5.75E-07,0.002029624,0.001157062,-1.10E-06,-3.19E-07,0.000903837,0.015558706,3.1,0,0.028544286,174.146216,34.589456,snia-cosmo,norm,1,1,,98.79518072,174.1451978,34.5894497,0.119816526,10.634,1.37969653,0.028653098,0.523113478,0,3.9633E+16,174.1451978,34.5894497,5.76461E+18,GALAXY,0.110380176,0,6.73E-06,6.73E-06,-0.127721985,160.2365,10.963148,0,1.9336098,-19.790714,-20.754736
